Transaction,Purchase_Date,Customer_ID,Gender,Marital_Status,Homeowner,Children,Annual_Income,City,State_or_Province,Country,Product_Family,Product_Department,Product_Category,Units_Sold,Revenue
29,12/30/2011,3196,M,S,N,2,$50K - $70K,Salem,OR,USA,Food,Produce,Fruit,2,$10.80
30,12/31/2011,9554,M,M,Y,3,$70K - $90K,Salem,OR,USA,Food,Deli,Meat,4,$8.64
31,12/31/2011,2670,F,S,Y,0,$70K - $90K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,5,$21.62
32,12/31/2011,7902,M,M,Y,1,$50K - $70K,San Diego,CA,USA,Non-Consumable,Household,Paper Products,6,$8.74
33,12/31/2011,8466,M,M,Y,3,$10K - $30K,Tacoma,WA,USA,Food,Seafood,Seafood,4,$16.51
34,12/31/2011,1953,F,S,N,1,$70K - $90K,Beverly Hills,CA,USA,Food,Produce,Vegetables,3,$1.43
35,12/31/2011,7617,F,M,N,3,$10K - $30K,Portland,OR,USA,Non-Consumable,Household,Electrical,4,$10.94
36,1/1/2012,240,M,M,N,2,$30K - $50K,Los Angeles,CA,USA,Food,Produce,Fruit,2,$8.42
37,1/1/2012,6510,F,M,Y,0,$50K - $70K,Salem,OR,USA,Food,Produce,Vegetables,5,$7.23
38,1/1/2012,7570,M,M,Y,4,$70K - $90K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$6.07
39,1/1/2012,4686,F,S,N,2,$50K - $70K,Los Angeles,CA,USA,Non-Consumable,Household,Electrical,5,$11.90
40,1/1/2012,6207,M,M,N,1,$30K - $50K,Los Angeles,CA,USA,Drink,Dairy,Dairy,5,$13.16
41,1/1/2012,1161,M,S,N,5,$70K - $90K,Seattle,WA,USA,Food,Produce,Vegetables,5,$14.05
42,1/2/2012,8746,F,S,N,3,$30K - $50K,Yakima,WA,USA,Non-Consumable,Household,Kitchen Products,6,$13.78
43,1/2/2012,9736,M,S,N,3,$70K - $90K,Seattle,WA,USA,Food,Deli,Side Dishes,5,$26.22
44,1/2/2012,1634,F,M,Y,1,$10K - $30K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,$8.58
45,1/2/2012,6253,F,M,Y,4,$30K - $50K,Seattle,WA,USA,Food,Baked Goods,Bread,4,$15.60
46,1/2/2012,4239,F,S,Y,4,$50K - $70K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$2.39
47,1/3/2012,6960,F,M,Y,3,$150K +,Tacoma,WA,USA,Non-Consumable,Household,Kitchen Products,5,$16.37
48,1/3/2012,9812,F,M,Y,2,$50K - $70K,Salem,OR,USA,Food,Dairy,Dairy,5,$24.38
49,1/4/2012,4279,F,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,4,$9.23
50,1/4/2012,1940,F,M,Y,1,$90K - $110K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$10.85
51,1/4/2012,3799,F,S,Y,2,$30K - $50K,Salem,OR,USA,Food,Baking Goods,Baking Goods,5,$14.87
52,1/4/2012,566,M,S,N,5,$10K - $30K,Walla Walla,WA,USA,Food,Produce,Vegetables,2,$3.53
53,1/4/2012,5125,F,S,N,2,$30K - $50K,Tacoma,WA,USA,Food,Deli,Meat,6,$10.21
54,1/4/2012,10026,F,S,N,3,$10K - $30K,Salem,OR,USA,Food,Frozen Foods,Vegetables,5,$10.07
55,1/5/2012,2533,M,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Food,Frozen Foods,Meat,5,$14.52
56,1/5/2012,7733,M,S,Y,5,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Hardware,4,$40.83
57,1/5/2012,3533,F,M,Y,1,$30K - $50K,Bremerton,WA,USA,Non-Consumable,Household,Plastic Products,4,$2.94
58,1/5/2012,3490,F,M,Y,1,$10K - $30K,Salem,OR,USA,Food,Dairy,Dairy,3,$23.13
59,1/5/2012,9125,M,S,N,3,$50K - $70K,Salem,OR,USA,Food,Produce,Specialty,3,$17.95
60,1/5/2012,10070,F,M,Y,2,$50K - $70K,Salem,OR,USA,Food,Dairy,Dairy,3,$6.88
61,1/5/2012,3533,F,M,Y,1,$30K - $50K,Bremerton,WA,USA,Food,Canned Foods,Vegetables,5,$6.20
62,1/6/2012,1596,M,M,Y,2,$70K - $90K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,3,$2.78
63,1/7/2012,8248,M,S,Y,3,$10K - $30K,Beverly Hills,CA,USA,Food,Canned Foods,Canned Sardines,6,$14.96
64,1/7/2012,3197,F,S,N,5,$50K - $70K,Yakima,WA,USA,Food,Produce,Fruit,5,$34.56
65,1/7/2012,2061,M,M,Y,3,$10K - $30K,Bremerton,WA,USA,Food,Baked Goods,Bread,5,$11.05
66,1/7/2012,5590,M,M,N,5,$110K - $130K,Tacoma,WA,USA,Non-Consumable,Checkout,Miscellaneous,4,$6.28
67,1/7/2012,760,F,S,Y,0,$150K +,Bremerton,WA,USA,Food,Baking Goods,Baking Goods,5,$4.79
68,1/8/2012,753,F,S,Y,1,$90K - $110K,Bremerton,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,3,$7.28
69,1/8/2012,2327,F,M,Y,4,$10K - $30K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,$11.04
70,1/8/2012,7576,F,M,Y,1,$50K - $70K,Salem,OR,USA,Food,Baked Goods,Bread,5,$5.67
71,1/8/2012,864,F,S,Y,3,$90K - $110K,San Diego,CA,USA,Food,Meat,Meat,5,$16.39
72,1/8/2012,8593,M,M,Y,2,$110K - $130K,Beverly Hills,CA,USA,Non-Consumable,Health and Hygiene,Hygiene,5,$4.29
73,1/8/2012,711,F,M,Y,2,$30K - $50K,Tacoma,WA,USA,Food,Canned Foods,Canned Sardines,4,$23.58
74,1/8/2012,6460,M,M,N,2,$10K - $30K,San Diego,CA,USA,Food,Canned Foods,Canned Soup,4,$21.47
75,1/9/2012,1216,M,S,N,1,$70K - $90K,Tacoma,WA,USA,Food,Produce,Fruit,3,$5.35
76,1/9/2012,2997,M,M,N,4,$10K - $30K,Seattle,WA,USA,Non-Consumable,Household,Cleaning Supplies,6,$17.57
77,1/9/2012,4925,F,S,Y,0,$50K - $70K,Spokane,WA,USA,Food,Frozen Foods,Pizza,6,$35.26
78,1/9/2012,2198,F,S,Y,3,$50K - $70K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,3,$17.28
79,1/9/2012,6021,F,S,Y,4,$50K - $70K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Decongestants,5,$8.35
80,1/9/2012,2390,F,M,Y,3,$30K - $50K,Tacoma,WA,USA,Food,Deli,Meat,3,$11.04
81,1/10/2012,240,M,M,N,2,$30K - $50K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,$17.52
82,1/10/2012,7354,F,M,Y,3,$10K - $30K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,6,$16.05
83,1/10/2012,4396,F,M,Y,3,$130K - $150K,Salem,OR,USA,Non-Consumable,Household,Hardware,5,$25.27
84,1/10/2012,7823,F,M,Y,5,$10K - $30K,Los Angeles,CA,USA,Food,Dairy,Dairy,4,$36.50
85,1/10/2012,76,F,S,N,1,$70K - $90K,Bremerton,WA,USA,Non-Consumable,Household,Electrical,5,$17.70
86,1/10/2012,3849,M,M,Y,4,$30K - $50K,Seattle,WA,USA,Food,Snacks,Candy,6,$24.90
87,1/11/2012,7493,F,M,Y,3,$110K - $130K,San Diego,CA,USA,Food,Starchy Foods,Starchy Foods,4,$36.48
88,1/11/2012,1193,F,S,Y,0,$90K - $110K,Salem,OR,USA,Food,Canned Foods,Canned Tuna,5,$6.53
89,1/11/2012,1429,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,6,$14.06
90,1/12/2012,4544,F,M,Y,4,$70K - $90K,Los Angeles,CA,USA,Food,Dairy,Dairy,5,$12.78
91,1/12/2012,1275,M,S,N,4,$10K - $30K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$1.56
92,1/12/2012,1681,F,M,Y,5,$70K - $90K,Salem,OR,USA,Food,Snack Foods,Snack Foods,5,$29.63
93,1/12/2012,4315,M,S,N,2,$30K - $50K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,4,$11.32
94,1/12/2012,9175,F,S,Y,2,$90K - $110K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,5,$1.80
95,1/12/2012,8054,F,M,Y,0,$10K - $30K,Seattle,WA,USA,Food,Deli,Side Dishes,3,$5.04
96,1/12/2012,7702,M,S,N,2,$30K - $50K,Spokane,WA,USA,Food,Breakfast Foods,Breakfast Foods,4,$3.61
97,1/12/2012,769,F,S,N,4,$30K - $50K,Spokane,WA,USA,Food,Dairy,Dairy,4,$12.58
98,1/13/2012,20,F,S,Y,2,$10K - $30K,San Diego,CA,USA,Non-Consumable,Household,Cleaning Supplies,3,$19.49
99,1/13/2012,6348,M,M,Y,2,$10K - $30K,Spokane,WA,USA,Food,Frozen Foods,Pizza,6,$4.61
100,1/13/2012,7622,F,S,N,1,$50K - $70K,Bremerton,WA,USA,Non-Consumable,Checkout,Miscellaneous,6,$11.04
101,1/13/2012,4021,M,M,N,3,$30K - $50K,Spokane,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,5,$4.68
102,1/13/2012,2086,M,M,N,1,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Paper Products,3,$25.52
103,1/13/2012,8862,M,S,N,1,$30K - $50K,Portland,OR,USA,Food,Snack Foods,Snack Foods,4,$6.80
104,1/13/2012,1429,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,2,$12.70
105,1/13/2012,8289,M,S,Y,4,$10K - $30K,Tacoma,WA,USA,Food,Baking Goods,Jams and Jellies,3,$8.09
106,1/14/2012,4544,F,M,Y,4,$70K - $90K,Los Angeles,CA,USA,Food,Deli,Meat,3,$7.06
107,1/14/2012,4564,M,S,N,4,$10K - $30K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$2.86
108,1/14/2012,6713,M,M,N,2,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,$19.66
109,1/14/2012,7569,F,M,Y,0,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,4,$5.04
110,1/14/2012,3593,F,M,Y,2,$150K +,Bremerton,WA,USA,Food,Deli,Meat,3,$9.94
111,1/14/2012,1254,F,M,N,0,$90K - $110K,Seattle,WA,USA,Food,Breakfast Foods,Breakfast Foods,4,$24.11
112,1/14/2012,8818,M,S,N,2,$30K - $50K,Seattle,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,5,$29.64
113,1/14/2012,5499,M,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Baking Goods,Baking Goods,2,$14.76
114,1/14/2012,5649,M,M,Y,3,$10K - $30K,Bellingham,WA,USA,Food,Baking Goods,Jams and Jellies,4,$9.68
115,1/15/2012,2924,M,S,N,5,$30K - $50K,Bremerton,WA,USA,Food,Canned Foods,Canned Tuna,5,$23.27
116,1/15/2012,3861,F,M,Y,4,$30K - $50K,San Francisco,CA,USA,Food,Deli,Meat,2,$7.15
117,1/15/2012,4396,F,M,Y,3,$130K - $150K,Salem,OR,USA,Food,Baking Goods,Baking Goods,3,$10.92
118,1/15/2012,3313,M,M,Y,0,$30K - $50K,Seattle,WA,USA,Food,Frozen Foods,Breakfast Foods,3,$10.96
119,1/15/2012,10213,M,S,Y,2,$30K - $50K,Beverly Hills,CA,USA,Food,Dairy,Dairy,4,$10.13
120,1/15/2012,2331,F,S,Y,4,$90K - $110K,San Diego,CA,USA,Food,Frozen Foods,Vegetables,3,$11.99
121,1/15/2012,9044,M,M,N,3,$30K - $50K,Los Angeles,CA,USA,Food,Starchy Foods,Starchy Foods,5,$27.65
122,1/15/2012,9459,F,S,Y,4,$50K - $70K,Portland,OR,USA,Food,Produce,Vegetables,3,$25.20
123,1/15/2012,3938,M,S,N,4,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Kitchen Products,5,$14.54
124,1/15/2012,10240,F,S,Y,3,$130K - $150K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,$11.27
125,1/16/2012,780,M,S,Y,5,$110K - $130K,Salem,OR,USA,Food,Frozen Foods,Pizza,3,$21.87
126,1/16/2012,6760,F,M,Y,2,$50K - $70K,Tacoma,WA,USA,Food,Dairy,Dairy,4,$14.26
127,1/16/2012,28,F,S,Y,1,$10K - $30K,Seattle,WA,USA,Food,Frozen Foods,Breakfast Foods,4,$11.04
128,1/16/2012,1147,F,S,Y,3,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,4,$10.43
129,1/16/2012,6021,F,S,Y,4,$50K - $70K,Salem,OR,USA,Food,Baking Goods,Baking Goods,5,$7.01
130,1/16/2012,484,F,M,Y,3,$90K - $110K,Salem,OR,USA,Food,Canned Foods,Canned Tuna,5,$9.59
131,1/16/2012,7075,F,M,Y,3,$90K - $110K,Seattle,WA,USA,Food,Dairy,Dairy,3,$21.53
132,1/16/2012,5973,M,M,Y,2,$90K - $110K,Bremerton,WA,USA,Food,Snacks,Candy,5,$31.13
133,1/17/2012,1900,F,S,Y,3,$130K - $150K,Beverly Hills,CA,USA,Food,Produce,Fruit,2,$6.32
134,1/17/2012,8154,F,S,Y,5,$130K - $150K,Los Angeles,CA,USA,Non-Consumable,Household,Paper Products,5,$20.40
135,1/17/2012,7263,M,S,Y,3,$10K - $30K,Portland,OR,USA,Food,Baked Goods,Bread,4,$20.27
136,1/17/2012,7694,F,S,Y,2,$130K - $150K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,$19.40
137,1/17/2012,8091,F,S,Y,4,$90K - $110K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,4,$8.06
138,1/17/2012,8259,F,M,Y,0,$10K - $30K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,2,$6.24
139,1/17/2012,3334,F,M,Y,2,$70K - $90K,Tacoma,WA,USA,Food,Produce,Vegetables,5,$12.18
140,1/17/2012,8731,F,M,N,1,$50K - $70K,Bremerton,WA,USA,Food,Starchy Foods,Starchy Foods,5,$18.84
141,1/17/2012,2019,M,S,N,4,$10K - $30K,Spokane,WA,USA,Non-Consumable,Household,Electrical,5,$30.19
142,1/17/2012,2775,F,M,Y,4,$70K - $90K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,6,$4.31
143,1/18/2012,7743,F,S,N,0,$30K - $50K,Bremerton,WA,USA,Food,Frozen Foods,Frozen Desserts,5,$31.70
144,1/18/2012,4021,M,M,N,3,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,4,$8.80
145,1/18/2012,6518,M,M,Y,3,$30K - $50K,Beverly Hills,CA,USA,Food,Dairy,Dairy,5,$4.97
146,1/18/2012,1748,F,S,N,1,$10K - $30K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,$26.50
147,1/18/2012,2673,M,M,Y,5,$50K - $70K,Portland,OR,USA,Food,Snack Foods,Snack Foods,3,$23.06
148,1/18/2012,7359,F,M,N,4,$10K - $30K,Salem,OR,USA,Food,Frozen Foods,Pizza,5,$15.18
149,1/18/2012,8452,M,M,N,4,$130K - $150K,Spokane,WA,USA,Food,Produce,Fruit,5,$21.22
150,1/18/2012,6957,F,S,N,2,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,4,$11.34
151,1/18/2012,7075,F,M,Y,3,$90K - $110K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,4,$11.49
152,1/18/2012,6647,M,S,Y,3,$30K - $50K,Tacoma,WA,USA,Food,Produce,Fruit,5,$19.12
153,1/18/2012,4564,M,S,N,4,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Frozen Desserts,2,$16.62
154,1/18/2012,5898,M,S,N,2,$10K - $30K,Bremerton,WA,USA,Food,Dairy,Dairy,3,$12.15
155,1/18/2012,8269,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Frozen Desserts,5,$23.27
156,1/19/2012,1906,M,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Food,Baked Goods,Bread,5,$11.50
157,1/19/2012,6439,F,S,N,3,$30K - $50K,Los Angeles,CA,USA,Food,Dairy,Dairy,6,$29.30
158,1/19/2012,5230,M,M,Y,3,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,6,$14.02
159,1/19/2012,1249,F,S,N,2,$30K - $50K,Seattle,WA,USA,Food,Starchy Foods,Starchy Foods,4,$28.37
160,1/19/2012,4552,M,M,Y,2,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Pizza,4,$22.38
161,1/19/2012,4727,F,M,Y,4,$150K +,Spokane,WA,USA,Food,Snack Foods,Snack Foods,5,$25.65
162,1/19/2012,7781,M,S,N,2,$50K - $70K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Decongestants,5,$18.69
163,1/19/2012,3567,M,M,Y,1,$70K - $90K,Spokane,WA,USA,Food,Baking Goods,Jams and Jellies,4,$16.61
164,1/19/2012,8818,M,S,N,2,$30K - $50K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,5,$20.22
165,1/19/2012,5238,M,S,Y,3,$10K - $30K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,2,$11.22
166,1/19/2012,2035,F,M,N,5,$50K - $70K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,5,$29.00
167,1/19/2012,3132,F,S,N,4,$70K - $90K,Seattle,WA,USA,Food,Produce,Vegetables,6,$15.73
168,1/19/2012,8147,M,M,Y,3,$130K - $150K,Bellingham,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$2.92
169,1/19/2012,5388,M,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Snacks,Candy,2,$15.33
170,1/20/2012,8830,F,S,Y,0,$30K - $50K,San Francisco,CA,USA,Food,Produce,Specialty,1,$2.63
171,1/20/2012,3776,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,$6.70
172,1/20/2012,8220,F,S,N,2,$30K - $50K,San Diego,CA,USA,Food,Produce,Vegetables,3,$22.53
173,1/20/2012,1193,F,S,Y,0,$90K - $110K,Salem,OR,USA,Food,Frozen Foods,Pizza,6,$7.64
174,1/20/2012,9810,M,S,N,3,$10K - $30K,San Diego,CA,USA,Food,Frozen Foods,Frozen Desserts,6,$6.46
175,1/20/2012,5026,M,S,N,5,$30K - $50K,Tacoma,WA,USA,Food,Baked Goods,Bread,3,$3.02
176,1/20/2012,2398,F,S,N,4,$50K - $70K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,3,$4.05
177,1/20/2012,7845,F,M,N,5,$70K - $90K,Salem,OR,USA,Food,Deli,Side Dishes,2,$6.62
178,1/20/2012,4445,F,S,Y,2,$50K - $70K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,5,$23.32
179,1/20/2012,2921,F,S,Y,4,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,3,$9.59
180,1/21/2012,6079,F,M,Y,3,$70K - $90K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$4.99
181,1/21/2012,3242,F,S,N,3,$10K - $30K,Bremerton,WA,USA,Drink,Beverages,Carbonated Beverages,5,$3.63
182,1/21/2012,4066,F,M,Y,3,$130K - $150K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,3,$6.93
183,1/22/2012,8291,F,M,Y,2,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,$16.30
184,1/22/2012,5991,M,M,Y,1,$50K - $70K,Bremerton,WA,USA,Non-Consumable,Household,Cleaning Supplies,4,$17.46
185,1/22/2012,7446,M,M,N,1,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,$9.05
186,1/22/2012,2251,M,M,N,0,$30K - $50K,Salem,OR,USA,Food,Meat,Meat,4,$2.68
187,1/22/2012,3001,F,M,N,1,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,4,$44.78
188,1/22/2012,7823,F,M,Y,5,$10K - $30K,Los Angeles,CA,USA,Food,Deli,Side Dishes,6,$8.06
189,1/22/2012,9129,F,S,Y,0,$110K - $130K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,6,$2.95
190,1/22/2012,8060,M,S,N,4,$50K - $70K,Walla Walla,WA,USA,Food,Produce,Vegetables,1,$1.65
191,1/22/2012,2361,M,S,N,3,$10K - $30K,San Diego,CA,USA,Food,Deli,Meat,3,$4.43
192,1/23/2012,4016,F,M,N,5,$70K - $90K,Los Angeles,CA,USA,Food,Produce,Vegetables,5,$5.24
193,1/23/2012,1313,F,M,Y,1,$30K - $50K,Seattle,WA,USA,Food,Frozen Foods,Frozen Desserts,4,$8.30
194,1/23/2012,304,M,M,Y,1,$90K - $110K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,4,$19.05
195,1/23/2012,2143,M,S,N,3,$10K - $30K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,2,$7.45
196,1/23/2012,878,F,S,N,0,$10K - $30K,Bremerton,WA,USA,Non-Consumable,Household,Plastic Products,4,$15.22
197,1/23/2012,2313,F,M,Y,3,$10K - $30K,San Diego,CA,USA,Food,Canned Foods,Canned Sardines,4,$10.80
198,1/23/2012,363,F,M,Y,4,$130K - $150K,Los Angeles,CA,USA,Food,Deli,Meat,6,$30.91
199,1/23/2012,3412,M,S,N,5,$30K - $50K,Portland,OR,USA,Non-Consumable,Health and Hygiene,Decongestants,3,$16.79
200,1/23/2012,5016,M,M,Y,5,$70K - $90K,Los Angeles,CA,USA,Food,Deli,Meat,3,$13.86
201,1/23/2012,4727,F,M,Y,4,$150K +,Spokane,WA,USA,Food,Snack Foods,Snack Foods,5,$6.60
202,1/23/2012,3776,F,S,N,4,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Electrical,4,$7.49
203,1/23/2012,9826,M,S,Y,4,$70K - $90K,Salem,OR,USA,Food,Produce,Vegetables,4,$10.88
204,1/23/2012,3773,F,S,Y,1,$110K - $130K,Tacoma,WA,USA,Food,Produce,Vegetables,5,$9.01
205,1/23/2012,9263,F,M,Y,2,$30K - $50K,Spokane,WA,USA,Food,Canned Foods,Canned Tuna,3,$8.63
206,1/23/2012,9306,M,M,Y,4,$50K - $70K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$7.81
207,1/23/2012,7149,F,S,Y,4,$10K - $30K,Salem,OR,USA,Food,Produce,Fruit,4,$2.63
208,1/24/2012,2158,M,M,Y,3,$10K - $30K,Portland,OR,USA,Food,Produce,Vegetables,4,$13.68
209,1/24/2012,213,F,S,Y,3,$30K - $50K,Los Angeles,CA,USA,Non-Consumable,Household,Kitchen Products,3,$25.29
210,1/24/2012,3446,F,S,Y,4,$30K - $50K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,3,$13.06
211,1/24/2012,8606,F,M,N,2,$110K - $130K,Seattle,WA,USA,Food,Canned Foods,Canned Sardines,4,$15.12
212,1/24/2012,976,F,M,Y,5,$70K - $90K,Spokane,WA,USA,Non-Consumable,Household,Paper Products,3,$10.71
213,1/24/2012,5734,M,M,Y,3,$30K - $50K,Salem,OR,USA,Food,Canned Foods,Vegetables,3,$6.40
214,1/24/2012,9264,F,M,N,4,$90K - $110K,San Diego,CA,USA,Drink,Beverages,Carbonated Beverages,4,$26.68
215,1/24/2012,4670,M,S,Y,1,$30K - $50K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,3,$11.47
216,1/25/2012,8342,F,M,Y,2,$70K - $90K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,4,$8.12
217,1/25/2012,4457,M,S,N,2,$30K - $50K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,2,$5.34
218,1/25/2012,1741,M,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Dairy,Dairy,3,$4.75
